电影名称,豆瓣评论数,豆瓣评分
集体回忆 - 张国荣 集w回 - s,753,9.3
坐在人生边上 杨绛,47,9.2
俞净意公遇灶神记,141,9.2
妙先生之火泽睽笑人传,141,9.1
霸王别姬,1069,9.1
背靠背脸对脸,8616,9.1
花为媒,1118,9.1
粉墨春秋,122,9.1
电影带你去旅行,122,9.1
战马 National Theatre Live: War Horse,130,9
流浪狗小黄的故事,102,9
遥望南方的童年,218,9
大冰的小屋,92,9
陈景润,64,9
古剑奇谭2：永夜初晗,271,8.9
未尽之路 未M之路,305,8.9
龙斌大话电影,735,8.9
逆,690,8.8
扬子江大鳄 Crocodile in the Yangtze,620,8.8
出路,299,8.7
聚焦,85,8.7
归来的局外人,324,8.6
大明宫,7346,8.6
东邪西毒：终极版 |邪西毒KO版,79666,8.6
爱与狗同行 叟c狗同行,902,8.6
张纯如――南京大屠杀 如,2881,8.6
变脸,12925,8.6
恐怖分子 恐怖份子,10653,8.6
走四方,148,8.6
西藏一年 A Year in Tibet,2294,8.6
你见过这样的赌鬼吗？,136,8.6
电影眼看中国,49,8.6
上海老爵士 As Time Goes by in Shanghai,301,8.5
小人国,899,8.5
同学,242,8.5
天水围的日与夜 天水的日c夜,65051,8.5
请为我投票 Please Vote for Me,14694,8.5
情归周恩来,183,8.5
帝国的兴衰,525,8.5
舌尖上的新年,15417,8.4
精诚大医,81,8.4
钱学森,122,8.4
鲜花,463,8.4
彼岸,2206,8.4
艾草,4984,8.4
香巴拉信使,953,8.4
开水要烫，姑娘要壮,175,8.4
侠女 b女,6223,8.4
还卜琴父以美丽,136,8.4
宗师之路,2220,8.4
武松与潘金莲,151,8.4
暖春,3766,8.4
卢浮宫之旅 Une visite au Louvre,675,8.4
摇摇晃晃的人间,89,8.3
寻味“左宗棠鸡” The Search for General Tso,233,8.3
飞鱼秀,1075,8.3
我和我的伙伴,89,8.3
孙子从美国来,24645,8.3
你还可爱么 你可埸N,6841,8.3
无蝉的夏天,1126,8.3
豆满江 ???,119,8.3
待业青年,22544,8.3
再见北京,147,8.3
童年的收音机,226,8.3
廉吏于成龙,157,8.3
太平天国 太平。天,402,8.3
405谋杀案,4119,8.3
坏诗人,68,8.3
最后的和弦,209,8.3
望长安,157,8.3
索玛花开的季节 索花_的季,43,8.3
水问,194,8.3
青年电影馆 第一季,126,8.3
亲兄弟,91,8.3
假凤虚凰,126,8.3
红跑道,1251,8.3
电影公嗨课,303,8.3
暴走看啥片,350,8.3
狼踪,159,8.2
地狱之旅：一个电影人的长征,579,8.2
八十一枚金币,93,8.2
蓝学校,450,8.2
游园惊梦,843,8.2
爸...你好吗？ 爸... 你好幔,7057,8.2
匿名游戏 匿名[,988,8.2
一年到头,3881,8.2
南京 Nanking,14514,8.2
迎春阁之风波 迎春w之L波,2016,8.2
董夫人,751,8.2
新局长到来之前,466,8.2
大地 The Good Earth,519,8.2
盘丝洞,544,8.2
毛嗑儿,307,8.2
老安,99,8.2
玉石传奇,160,8.2
暮鼓晨钟,66,8.2
师父,125898,8.1
路灯下的小女孩,203,8.1
邋遢大王奇遇记,6340,8.1
不要摄像机,642,8.1
横平竖直,99,8.1
滚拉拉的枪,1002,8.1
那时的他们,684,8.1
人造风景 Manufactured Landscapes,2729,8.1
恋爱与义务,402,8.1
老年男女,90,8.1
是梦 是,969,8.1
红楼梦 新版越剧《红楼梦》,183,8.1
新10放,134,8.1
家庭计划,86,8.1
鲫鱼,127,8.1
山中故事,199,8
东北花泽类之起幺蛾子,74,8
侠僧探案传奇之大夜叉,2276,8
魁拔Ⅲ战神崛起,17004,8
风晴雪回忆录,221,8
流浪33天,1778,8
巅峰记忆,142,8
我爱你妈妈 Wo ai ni mommy,67,8
碧罗雪山,1682,8
哈尔滨・回旋阶梯,93,8
志同志 I同志,2165,8
人民至上,140,8
清水的故事,126,8
立春,60415,8
秋决,676,8
秋雨,795,8
小说,2628,8
童年的最后一个夏天,249,8
喊山,1155,7.9
绝世高手,16750,7.9
台湾人在满洲国 台橙嗽M洲,55,7.9
我的渡口,67,7.9
北京鼠族 “ネズミ族”と呼ばれて～北京?地下住人の日々～,349,7.9
老那,273,7.9
父后七日 父後七日,12775,7.9
回家结婚,154,7.9
疯狂的赛车,159384,7.9
前门前 A Disappearance Foretold,188,7.9
太阳照常升起,99067,7.9
鬼佬 Ghosts,503,7.9
静静的嘛呢石,1476,7.9
无痛,58,7.9
三里洞,143,7.9
张博士,392,7.9
师傅,666,7.9
等郎妹,258,7.9
海南之后,49,7.8
可爱的你 五小孩的校L,23066,7.8
真爱,532,7.8
困战,66,7.8
大明劫,37739,7.8
蝴蝶梦,53,7.8
满洲国军：在“五族协和”的旗号下 褐莨～“五族f和”の旗の下に～,84,7.8
无憾 o憾,950,7.8
魁拔之十万火急,36428,7.8
永生羊,165,7.8
火线追凶之无罪辩护,2621,7.8
中尉,106,7.8
葫芦兄弟,8176,7.8
牛郎织女,738,7.8
集结号,104309,7.8
夕照街,758,7.8
日出,211,7.8
我叫MT剧场版 2013：草裙娃娃,38,7.8
火线追凶之死亡地带,2656,7.8
庐山风云,68,7.8
街口,288,7.8
魅力的中国铁道风景 魅惑の中国道L景,122,7.8
丘比特女孩 Ms.Cupid,992,7.8
老驴头,212,7.8
NHK \C中China,35,7.8
僵尸 ,56576,7.7
这些年一路有你,170,7.7
拉卜楞人家,62,7.7
火线追凶之血色刀锋,3156,7.7
生命无限公司 生命o限公司,1118,7.7
前妻,277,7.7
火线追凶之掘墓人,2850,7.7
火线追凶之冲破黑幕,2443,7.7
老张 Lao Zhang,66,7.7
走着瞧,11821,7.7
新鲁冰花：孩子的天空 新冰花：孩子的天空,907,7.7
歌舞升平,322,7.7
爱情的牙齿,22267,7.7
陆小凤传奇之陆小凤前传,6790,7.7
年年有今日,1746,7.7
我是张飞我怕谁,371,7.7
孩子那些事儿,188,7.7
2008分之1,88,7.7
现实是过去的未来,290,7.7
火线追凶之狂魔再现,2580,7.7
奇迹世界,7424,7.7
咱俩没完,26,7.7
有请老梁,50,7.7
小小得月楼,1156,7.7
老寨,67,7.7
大学生同居的事儿前传之歪打歪着,176,7.7
一个成人电影工作者的自白,132,7.6
闯入者,34984,7.6
催眠大师,178555,7.6
安大略合约,116,7.6
团圆,4247,7.6
爱呦，阿斗,474,7.6
边境风云,51551,7.6
童年的稻田 La rizière,91,7.6
天赐,103,7.6
幸福在2010,90,7.6
河流和我的父亲,176,7.6
火线追凶之黑枪疑云,2488,7.6
沂蒙六姐妹,1423,7.6
寻找那达慕,233,7.6
火线追凶之绝命狙击,2774,7.6
让我为你靠点谱,435,7.6
好猫,240,7.6
真功夫之奥运在我家,388,7.6
湍流,266,7.6
樱桃,3529,7.6
耳朵大有福,14680,7.6
蓝莓之夜 My Blueberry Nights,103194,7.6
陆小凤传奇之铁鞋传奇,6140,7.6
中国蓝 China Blue,337,7.6
女儿红,925,7.6
不一样的妈妈 不一拥,357,7.6
老狗,586,7.6
太阳总在左边,689,7.6
寻找阿依阔勒,165,7.6
柜族,77,7.6
火线追凶之突然死亡,2382,7.6
重聚,188,7.6
中非遇 When China Met Africa,85,7.6
一九四二：吾国吾民,1322,7.6
羊城暗哨,893,7.6
天下无贼,1439,7.6
食神,3601,7.6
南京路,245,7.6
谋杀 Murder,152,7.6
联华交响曲,210,7.6
孔二皮进城记,98,7.6
的哥,231,7.6
坏孩子的秋天,263,7.5
五月第一个星期一 The First Monday in May,354,7.5
雨水丰沛的季节,157,7.5
旋风九日,2218,7.5
全能灏,2440,7.5
侠僧探案传奇之催命符,1243,7.5
智取威虎山电影纪录片之打虎上山,489,7.5
猎时者,265,7.5
青春派,52158,7.5
婚纱照,7724,7.5
唐皇游地府,987,7.5
大碗茶,202,7.5
大国手之扬州论枰,345,7.5
我是植物人,1974,7.5
红领巾侠 The Red,16244,7.5
初见：停滞的时光,1323,7.5
小西天,243,7.5
走路上学,335,7.5
长安街,119,7.5
无声风铃 Soundless Wind Chime,5240,7.5
一席之地,2955,7.5
天水围的夜与雾 天水的夜cF,20869,7.5
海角七号 海角七,192665,7.5
筑梦2008,3423,7.5
冯志远,194,7.5
千年敬祈 A Thousand Years of Good Prayers,1273,7.5
纯爱,150,7.5
不能说的秘密 不能f的・秘密,225414,7.5
另一半,406,7.5
门徒 T徒,115010,7.5
滑稽时代,1025,7.5
赌王大骗局 王大_局,460,7.5
李双双,1242,7.5
孔夫子,764,7.5
火线追凶之惊魂宴,2420,7.5
何小光的夏天,139,7.5
野人也有爱,851,7.5
别说抱歉 别说再见,712,7.5
寻找智美更登,715,7.5
我自己的德意志,1064,7.5
中国力量 チャイナパワ`,723,7.5
女大学生宿舍,1000,7.5
妈妈去哪儿,161,7.5
混在北京,642,7.5
不良,653,7.5
槟榔西施,273,7.5
治愈之岛,308,7.4
夏洛特烦恼,310868,7.4
医者童心,216,7.4
侠僧探案传奇之洛阳花会,1328,7.4
绣春刀,162810,7.4
龙之谷：破晓奇兵,15626,7.4
老哨卡,76,7.4
胜利,75,7.4
甘南情歌,159,7.4
魔法时刻 The Magic Moment,643,7.4
远方在哪里,1220,7.4
玩大的,8662,7.4
保留,373,7.4
当爱来的时候 淼r候,7912,7.4
海上传奇,14218,7.4
卧龙天府 熊猫传奇,109,7.4
我是花下肥泥巴,55,7.4
透析,195,7.4
二十四城记,23686,7.4
一八九五,1139,7.4
好莱坞华人 Hollywood Chinese,85,7.4
陆小凤传奇之大金鹏王,6271,7.4
天马茶房 天R茶房,217,7.4
大咸湿 大咸,730,7.4
失婚老豆,233,7.4
八百壮士 八百咽,584,7.4
八千里路云和月,853,7.4
狼山喋血记,273,7.4
盲钻,406,7.4
来自阴道,53,7.4
光男的栗子 光男の栗,214,7.4
风花雪月,87,7.4
志愿者,595,7.4
摊开你的地图,386,7.4
中国已远――安东尼奥尼与中国,244,7.4
与男友的前女友密谈 c男友的前女友密,132,7.4
情归陶然亭,66,7.4
胖胖的夏天,36,7.4
莫小白的水怪日记,266,7.4
马乌甲,284,7.4
举自尘土,245,7.4
归省,132,7.4
谍影重重之上海,258,7.4
笛声何处,380,7.4
暗香,149,7.4
爱情天梯,487,7.4
第35届香港电影金像奖颁奖典礼 第35孟愀垭影金像C典Y,198,7.3
踏血寻梅 踏血っ,67163,7.3
喜丧(短片),72,7.3
有我在这里 I'm Here,820,7.3
侠僧探案传奇之开封府,1183,7.3
扫毒 叨,110421,7.3
索道医生,36,7.3
我在记忆里等你,472,7.3
敢想敢为,77,7.3
新娘,140,7.3
幸福速递,898,7.3
闪耀,163,7.3
这里有情况,6369,7.3
语路,1170,7.3
米香,1278,7.3
11度青春之《哎》,12467,7.3
线人 人,90002,7.3
喋血孤城,6736,7.3
宝贵的秘密,1240,7.3
谁动了我的幸福,994,7.3
胡同里的阳光,203,7.3
中国高考 Wide Angle: China Prep,148,7.3
地下的天空,370,7.3
你赔了我赚了,269,7.3
公园,605,7.3
金碧辉煌,274,7.3
无用,4036,7.3
夜・明,216,7.3
陆小凤传奇之血衣之谜,3836,7.3
陆小凤传奇之绣花大盗,4331,7.3
落叶归根,46699,7.3
一诺千金,604,7.3
中国鞋子 Die chinesischen Schuhe,354,7.3
邂逅 - 生命狂想曲 How's Life,159,7.3
夏日暖洋洋,1263,7.3
疯狂的代价,1120,7.3
火龙 火：坌掠X_-溥x的後半生,408,7.3
女儿经,169,7.3
蚀之章台秋柳,193,7.3
被遗弃的 被z的,162,7.3
中国原创音乐20年,96,7.3
龙门飞甲纪录片,939,7.3
万重浪 Ten Thousand Waves,130,7.3
寻找子怡,65,7.3
香格里拉 香格里拉(shangri-la),227,7.3
活着爱着乐着,1001,7.3
山楂树,152,7.3
有一种电影叫香港,230,7.3
医痴叶天士,362,7.3
信义兄弟,243,7.3
新生万喜,122,7.3
生死桥,271,7.3
美好2012：不可能的可能,149,7.3
轮回,457,7.3
飞船,399,7.3
大国手之胜者为王,394,7.3
大国手之当湖十局,442,7.3
痴心的我,554,7.3
成都，今夜请将我遗忘,486,7.3
火锅英雄,147459,7.2
熊出没之雪岭熊风,6188,7.2
侠僧探案传奇之醉玲珑,1238,7.2
侠僧探案传奇之聚义钱庄,2251,7.2
重返20岁,162608,7.2
军中乐园 中@,32577,7.2
救火英雄,41692,7.2
毒战 毒,104394,7.2
阿嬷的梦中情人 阿叩糁星槿,5576,7.2
我不是傻瓜,245,7.2
我11,41001,7.2
这里，那里,600,7.2
宅男电台,12838,7.2
不是闹着玩的,3728,7.2
复兴之路,157,7.2
迷墙,33,7.2
孟二冬,144,7.2
拉贝日记 John Rabe,20129,7.2
高考1977,20822,7.2
手风琴,359,7.2
证人,63106,7.2
逆转流星,565,7.2
温凉珠,419,7.2
姨妈的后现代生活,35783,7.2
陆小凤传奇之剑神一笑,4018,7.2
陆小凤传奇之银钩赌坊,4163,7.2
陆小凤传奇之决战前后,4715,7.2
我把初吻献给谁,102,7.2
陆小凤传奇之凤舞九天,4386,7.2
表姐，你好S！3之大人驾到,1372,7.2
三少爷的剑 三少的,1986,7.2
蚀之江枫渔火,58,7.2
天那边,3152,7.2
不许抢劫,379,7.2
扎赉诺尔,489,7.2
我的教师生涯,1371,7.2
勇士,103,7.2
一半一半,108,7.2
幸福成本,28,7.2
亲爱的,87,7.2
鸡蛋和石头,203,7.2
红色康拜因,619,7.2
贵圈好乱,104,7.2
国界,31,7.1
热干面的味道,92,7.1
离骚II・十年后,73,7.1
中国之旅 Voyage en Chine,1021,7.1
侠僧探案传奇之将军府,1166,7.1
黄克功案件,1976,7.1
春梦 春,67,7.1
我故乡的四种死亡方式,293,7.1
女导演,839,7.1
孤者定律,289,7.1
城市映像-西安篇《神医》,360,7.1
杨善洲,1388,7.1
乌鲁木齐的天空,106,7.1
不如归去,588,7.1
大国手之天下无敌,532,7.1
黑白照片,225,7.1
初见：最初的梦想,282,7.1
斗鸡人,177,7.1
前度,148378,7.1
打擂台,14827,7.1
错还,97,7.1
寂静之声,75,7.1
喇叭裤飘荡在一九八三 巴颜喀拉的雪,192,7.1
非诚勿扰,239850,7.1
即日启程,37859,7.1
西干道,155,7.1
砸掉你的牙,48,7.1
买买提的2008,362,7.1
一个好爸爸,29995,7.1
PK.COM.CN,10274,7.1
十八个手印,74,7.1
老港正传,13335,7.1
十三棵泡桐,18118,7.1
陆小凤传奇之幽灵山庄,4411,7.1
生日快乐,55646,7.1
天与地,2845,7.1
阿婴 阿,3235,7.1
新半斤八两,2119,7.1
夜盗珍妃墓,674,7.1
在那河畔青草青,604,7.1
智取威虎山电影纪录片之踏雪而行,641,7.1
火车在隔壁飞,174,7.1
我们是共产主义省略号,169,7.1
蜗牛也是牛,369,7.1
橡皮 Rubber,107,7.1
围剿,427,7.1
替补职员,95,7.1
女人TAXI女人,252,7.1
兵临城下,212,7.1
寒战2,117838,7
百日告e,1867,7
还俗,320,7
中国惊奇先生2015,304,7
第二次爱你,754,7
母亲的梦想,69,7
狼图腾,137446,7
侠僧探案传奇之大兴赌坊,1378,7
侠僧探案传奇之王陵之谜,1562,7
茗记4：尘封追忆,157,7
卒迹,857,7
亲・爱,3291,7
厨子戏子痞子,146975,7
率性生活之末日逆袭 率性生活之末日逆u,436,7
指尖太阳,59,7
杨梅洲,2540,7
七月流火,244,7
我最好的朋友江竹筠,81,7
大国手之首席棋待诏,358,7
爱的联想之《科学松鼠会》,140,7
幸福59厘米之小马,10344,7
狼来了,86,7
心灵风暴,99,7
我的糖,123,7
礼物,1263,7
金山 Iron Road,2112,7
生日,214,7
斗爱,2376,7
飞机总动员,246,7
彼岸浮生,71,7
一个人的奥林匹克,694,7
双食记,51181,7
血蝉,545,7
所有梦想都开花,189,7
S玛的十七岁,456,7
候鸟 候B,1500,7
三五成群,827,7
情人知己,842,7
女子监狱,2339,7
风云儿女,352,7
爸爸的秘密,31,7
蚀之怀朴抱素,208,7
大国手之棋行江湖,412,7
1942,2216,7
想爱都难,230,7
她们的名字叫红,510,7
明见万里 ????,91,7
盲人电影院,548,7
二冬,269,7
7电影系列,267,7
2014最美表演,495,7
纪念品,76,6.9
战狼,89126,6.9
侠僧探案传奇之白马镖局,1448,6.9
不能说的夏天 寒s效,10265,6.9
胖虎日记,373,6.9
西藏天空,1082,6.9
勇敢爱之爱情规划局,560,6.9
金刚经,1381,6.9
将令,832,6.9
鸡排英雄 u排英雄,11840,6.9
与爱别离 cex,213,6.9
初见：子非鱼,321,6.9
剑雨,96245,6.9
特别的爱,35,6.9
胡辣汤,69,6.9
酷马 酷R,1347,6.9
袁崇焕,57,6.9
你丫真狠,545,6.9
梅兰芳,85786,6.9
第一诫,16110,6.9
凤凰,2825,6.9
阿妹的诺言,90,6.9
箱子,722,6.9
别拿自己不当干部,11147,6.9
炮打双灯,1027,6.9
廉政第一击,899,6.9
应召女郎1988,798,6.9
御猫三戏锦毛鼠 御三蝈\毛鼠,434,6.9
南北醉拳,183,6.9
寻欢作乐,164,6.9
棋王和他的儿子,931,6.9
Parapax,229,6.9
小六,713,6.9
一日一夜,346,6.9
唐卡,114,6.9
私家历史私家菜,91,6.9
双胞胎,448,6.9
女神捕之计中计,161,6.9
明美的初恋,141,6.9
焚尸人,135,6.9
黑猫大旅社 黑大旅社,514,6.8
点对点 cc,1252,6.8
秦时明月之龙腾万里,19130,6.8
回光奏鸣曲 光奏Q曲,864,6.8
我是狼之火龙山大冒险,403,6.8
半音,152,6.8
美好2014,53,6.8
到不了,137,6.8
逃出生天,34400,6.8
开心超人,1628,6.8
这一刻，爱吧2013 @一刻，郯2013,8196,6.8
百年婚纱店,3554,6.8
画圣,474,6.8
天之恩赐 Hajab's Gift,51,6.8
记忆望着我,561,6.8
这一刻，爱吧！ @一刻，郯桑,2749,6.8
就是闹着玩的,2063,6.8
命运化妆师 命\化y,4916,6.8
郎在对门唱山歌,1147,6.8
酒徒,2150,6.8
我是丽 Io Sono Li,221,6.8
无底洞,2704,6.8
蛋炒饭,11146,6.8
守望者：罪恶迷途,13874,6.8
站起来,38,6.8
百合,1050,6.8
红灯梦,3050,6.8
冷场,50,6.8
喜羊羊与灰太狼之虎虎生威,14529,6.8
房子房子我爱你,730,6.8
熊猫回家路,4073,6.8
小城大爱,84,6.8
天堂凹,290,6.8
烽火,443,6.8
上海公园,541,6.8
投名状,93450,6.8
男儿本色,49409,6.8
暗物质 Dark Matter,6070,6.8
浮生,671,6.8
警察扒手两家亲 Jing cha pa shou liang jia qin,245,6.8
开心勿语,873,6.8
鼓书艺人,865,6.8
千王斗千霸 千王Y千霸,471,6.8
金盏花 金K花,606,6.8
神偷妙探手多多,155,6.8
应召女郎 召女郎,73,6.8
大地儿女 大地号,381,6.8
老四,60,6.8
蚀之春风桃李,173,6.8
黑蛋，快跑,49,6.8
潘作良 Pan Zuo Liang,73,6.8
升生两难,618,6.8
十三岁女孩,54,6.8
怒放,907,6.8
男孩都想有辆车,820,6.8
周恩来万隆之行,127,6.8
舟舟,50,6.8
照见,169,6.8
少年与刀,138,6.8
我心雀跃,209,6.7
记得少年那首歌,238,6.7
房客 The Tenant,61,6.7
十七岁 5月一号,7403,6.7
虚拟情人,74,6.7
蓝色骨头,16352,6.7
铁道 The Iron Ministry,104,6.7
谁是你的菜2014,10397,6.7
西游 西[,945,6.7
致闺蜜：在一起的那些年,54,6.7
青蛙王国,900,6.7
摘星的你,731,6.7
父亲,181,6.7
变身超人 身,16716,6.7
美好2013,129,6.7
三角地,178,6.7
城市映像-青岛篇《人人都爱李小曼》,333,6.7
龙门飞甲,165411,6.7
大国手之秦淮风月,351,6.7
花 Love and Bruises,9654,6.7
狗头金,37,6.7
一线缉毒,130,6.7
月满轩尼诗 月M尼,73938,6.7
72家租客,62659,6.7
白蜻蜓,114,6.7
万家灯火,278,6.7
点心葬礼 Dim Sum Funeral,236,6.7
铁人,1039,6.7
大河,44,6.7
夜玫瑰,1696,6.7
保持通话,100776,6.7
左岸,152,6.7
黄石的孩子 The Children of Huang Shi,16266,6.7
艳光四射歌舞团 G光四射歌舞F,785,6.7
我的美丽与哀愁 我的美c哀愁,1336,6.7
黑太阳南京大屠杀,652,6.7
皇家师姐4：直击证人 皇家姐IV直粼^人,808,6.7
表错7日情 表e7日情,869,6.7
教头 教^,494,6.7
蚀之霜天晓角,53,6.7
爱的替身,111,6.7
镖行天下前传之决战天涯,269,6.7
纳妾,971,6.7
卡门 卡门《the fat girl》,36,6.7
镖行天下之神武大炮,607,6.7
隐形侠,119,6.7
水雨童话,42,6.7
女神捕之现形,147,6.7
盲糖,296,6.7
镖行天下之瞒天过海,483,6.7
镖行天下之风云际会,499,6.7
清水里的刀子,210,6.6
不朽的时光,3509,6.6
老石,57,6.6
眼,1359,6.6
冲锋车 nh,24682,6.6
味道中国,1162,6.6
诡计1940,72,6.6
活下去 Carry On,69,6.6
杂色颗粒,37,6.6
狄仁杰之神都龙王,117010,6.6
猎杀中山狼,67,6.6
衣锦还乡,130,6.6
大上海,55696,6.6
双城计中计,10519,6.6
大闹天宫3D,4681,6.6
小婷,420,6.6
面引子 I引子,635,6.6
生死密电,128,6.6
星海,635,6.6
幸存日,773,6.6
壶王,78,6.6
指甲刀人魔,13507,6.6
外滩佚事,975,6.6
大明宫传奇,493,6.6
台北星期天,2400,6.6
金门新娘,90,6.6
我的唐朝兄弟,16841,6.6
刺水,172,6.6
我要飞翔,93,6.6
再生号 再生,8686,6.6
驯马手,46,6.6
琴麻岛的海,207,6.6
河上的爱情,3206,6.6
我的左手,591,6.6
飞行日志,2300,6.6
镖行天下之天下镖局,892,6.6
夜・上海,27518,6.6
绑架,15747,6.6
十品,85,6.6
红孩儿大话火焰山 Journey to the West,1145,6.6
人鬼神,1418,6.6
神探朱古力,1028,6.6
玉罗刹 玉_刹,176,6.6
潜水镜女孩,338,6.6
儿子媳妇和老娘,227,6.6
邓稼先,277,6.6
竹林七贤 Part 1,77,6.6
京都夏利,35,6.6
醉美人生,39,6.6
袁天罡之末日天劫,76,6.6
熊猫奶糖,414,6.6
武术班,182,6.6
五行伏妖,95,6.6
女神捕之迷局,144,6.6
盖世武生,51,6.6
