电影名称,豆瓣评论数,豆瓣评分
制服,8670,5
烂滚夫斗烂滚妻 L夫YL妻,3914,5
小时代2：青木时代,127371,5
咏春小龙,8864,5
战将周希汉,49,5
全城高考,9423,5
我的狗狗我的爱,268,5
诡爱,1919,5
擒爱记,4461,5
真心话大冒险,7792,5
七个隆咚锵咚锵,471,5
梦游,3319,5
男得有爱,2402,5
你是哪里人,1492,5
爱情36计,4982,5
一不留神,2283,5
出水芙蓉,8823,5
小题大做,179,5
活该你单身,11629,5
大内密探灵灵狗 大让芴届``狗,103980,5
致命追击,35,5
乱青春 y青春,3687,5
豫菜皇后,148,5
疯狂粉丝王,1820,5
门,7863,5
铁猴子传奇之花影危机,76,5
一枝花与铁臂膊,61,5
鼓上蚤时迁,116,5
阻击克隆卡,43,5
碧瑶霜迷案,61,5
扈三娘与矮脚虎王英,437,5
鬼脸儿杜兴,100,5
功夫之王,344,5
厨子程天喜,42,5
以为是老大,69,4.9
冰美人,366,4.9
咕噜咕噜美人鱼,571,4.9
我要你开花,1202,4.9
还魂之迷失曼谷,940,4.9
京城81号,59149,4.9
蓝可儿之旅,1915,4.9
完美假妻168,4901,4.9
早安，冬日海,441,4.9
诡拼车,3649,4.9
德吉的诉讼,42,4.9
周恩来的四个昼夜,2986,4.9
爱情不NG,3455,4.9
给野兽献花,2273,4.9
女孩坏坏 女孩,1563,4.9
女人如花,1043,4.9
浮出水面的影子,484,4.9
绝录求生,1250,4.9
肩上蝶,19627,4.9
北川重生,43,4.9
绑架冰激凌,3127,4.9
庐山恋2010,7900,4.9
龙凤店,27375,4.9
我的美女老板,19377,4.9
七小罗汉,3685,4.9
火星没事,16988,4.9
马兰花,632,4.9
明明,20002,4.9
妃子笑,4951,4.9
原色丽人,68,4.9
暴力实验室,46,4.9
盗墓笔记,111485,4.8
魔都凶音,700,4.8
弱比少男闯女校,41,4.8
全力扣杀 全力扣,1892,4.8
消失的凶手,20067,4.8
天眼传奇,268,4.8
斗地主,2533,4.8
露水红颜,30868,4.8
求爱嫁期,1088,4.8
三生,1176,4.8
金牌流浪狗,473,4.8
西湖传奇,204,4.8
四大名捕2,37475,4.8
超级经纪人 超理人,10470,4.8
宫锁沉香,36495,4.8
咒・丝,1745,4.8
北漂鱼,3714,4.8
交换旅行,335,4.8
一起飞,4615,4.8
街头之王,1387,4.8
通往明日之爱 明日に架ける,48,4.8
民国警花,46,4.8
巨额交易,6166,4.8
第一大总统,603,4.8
白蛇传说,83590,4.8
抵抗！抵抗！,39,4.8
梦回鹿鼎记,2043,4.8
老夫子之小水虎传奇,1107,4.8
过界,2824,4.8
剑蝶,17117,4.8
野蛮的温柔,406,4.8
时尚先生,5672,4.8
吓死你 死你,1029,4.8
心花怒放,475,4.8
终极魔术,67,4.8
午夜照相馆 午夜照相^,671,4.8
子夜惊魂,42,4.8
石将军石勇,155,4.8
神算子蒋敬,86,4.8
猎头华尔兹,72,4.8
缴枪不杀,89,4.8
变幻的年代,536,4.8
伏魔探案之通灵撸Sir,74,4.7
股神,196,4.7
同班同学 同班同W,4603,4.7
情敌蜜月,9285,4.7
百团大战,10843,4.7
洛克王国4：出发！巨人谷,523,4.7
我爸比我小四岁,843,4.7
有种你爱我,29653,4.7
喜羊羊与灰太狼之羊年喜羊羊,1357,4.7
微爱之渐入佳境,54611,4.7
四大名捕大结局,30200,4.7
幸福快递 幸福快f,254,4.7
逆袭,474,4.7
大片,5360,4.7
笑功震武林,13221,4.7
谁HOLD住谁,215,4.7
金箍棒传奇,1221,4.7
请叫我英雄,2582,4.7
笔仙,11278,4.7
假如没有你,547,4.7
美女“如云”,73,4.7
精舞门2,3158,4.7
皇家刺青,6728,4.7
回路,889,4.7
精舞门,18827,4.7
棒子老虎鸡,7241,4.7
东方大港,68,4.7
美女食神,1752,4.7
大话神探 大神探,306,4.7
我的老婆未成年,330,4.7
双龙记,275,4.7
东方,295,4.7
魔比斯环 Thru the Moebius Strip,1333,4.6
罪恶救赎,55,4.6
巴啦啦小魔仙之魔箭公主,717,4.6
墓穴迷城,899,4.6
重生爱人,1896,4.6
道士出山,1627,4.6
四非,1005,4.6
封门诡影,1667,4.6
鸭王 王,15558,4.6
怪谈,3559,4.6
坏姐姐之拆婚联盟,7336,4.6
疯狂72小时,10064,4.6
一个潘康淖晕倚扪,1718,4.6
野草莓,118,4.6
青春盛宴,988,4.6
浮云,57,4.6
不二神探,88211,4.6
潮性办公室,5950,4.6
琴动我心,266,4.6
我们约会吧,6721,4.6
大玩家,5504,4.6
童眼,4590,4.6
梦回金沙城,722,4.6
隋朝来客,20242,4.6
功夫厨神 功夫N神,2904,4.6
味道男女,607,4.6
有只僵尸暗恋你 有b僵瓢倌,1727,4.6
我的老婆是赌圣 我老婆S},4507,4.6
森冤,3192,4.6
特警英雄,84,4.6
青丝,96,4.6
喜羊羊与灰太狼之懒羊羊当大厨,118,4.6
长江7号：超萌特攻队,835,4.5
菜鸟,197,4.5
王牌,7184,4.5
全城通缉,12768,4.5
赛尔号大电影4：圣魔之战,15051,4.5
百变爱人 Delete廴,3445,4.5
整容日记,52937,4.5
再见火锅,423,4.5
非常幸运,43715,4.5
牛胆神偷,893,4.5
玛德2号 德2,1755,4.5
终极大冒险,1117,4.5
绣花鞋,12152,4.5
温哥华酱油乐队,204,4.5
光棍终结者,1524,4.5
正・青春,4243,4.5
歼十出击,1936,4.5
大笑江湖,58523,4.5
鹿镇传奇,69,4.5
熊猫大侠,24887,4.5
大四喜,1955,4.5
大话股神,1546,4.5
少林僵尸 少林,292,4.5
我们恋爱吧,610,4.5
青苹果,971,4.5
活着,68,4.5
大漠追艳,70,4.5
灯塔下的恋人 羲下的偃,702,4.4
倩女箫魂,148,4.4
擦枪走火,3675,4.4
猛龙特 猛特,2063,4.4
三只小猪与神灯,333,4.4
恋爱排班表,1086,4.4
神探驾到 浮A宴,9818,4.4
天河,1680,4.4
欲望爱人,262,4.4
新大头儿子和小头爸爸之秘密计划,1007,4.4
爱情进化论,6014,4.4
黑暗之光,325,4.4
目标战,2537,4.4
早见，晚爱,4924,4.4
暴走吧，女人,7032,4.4
蓝调海之恋,370,4.4
宝岛双雄 up雄,5742,4.4
下一个奇迹,1439,4.4
画壁,81972,4.4
热浪球爱战 崂饲,3245,4.4
娜娜的玫瑰战争,8322,4.4
全城戒备,31650,4.4
替身传奇乐翻天,89,4.4
澳门1949,213,4.4
变身契约,265,4.4
猛男滚死队,3989,4.4
名花有主,111,4.4
爱情秘方,106,4.4
六扇门之苍生客栈,44,4.4
伏魔战士,51,4.4
不要和他约会,40,4.4
仙医神厨,54,4.3
超能太监2之黄金右手,386,4.3
没女神探 ]女神探,2119,4.3
别有动机,1729,4.3
再见我们的十年,1089,4.3
潜艇总动员5：时光宝盒,266,4.3
公路美人,493,4.3
宝贝，对不起,1070,4.3
欲望保姆,592,4.3
求爱大作战 吓不x3兄弟,3214,4.3
0.5的爱情,2866,4.3
小时代3：刺金时代,119595,4.3
喜羊羊与灰太狼之飞马奇遇记,17886,4.3
菲常事由,131,4.3
猎仇者,9057,4.3
心战 第6],5215,4.3
4B青年之4楼B座,4591,4.3
成都一夜,170,4.3
热血街头,1013,4.3
不怕贼惦记,7804,4.3
开心魔法,9288,4.3
纵身一跃,1987,4.3
魔侠传之唐吉可德,6020,4.3
虎王归来 Tiger Returns,213,4.3
落花有声,72,4.3
盗版猫,4943,4.3
狼灾记,7717,4.3
新东成西就,231,4.3
信箱,246,4.3
舞魅青春,34,4.3
我的干爹是个贼,41,4.3
铁猴子传奇之娇龙媚影,34,4.3
她们，他们,100,4.3
金枪手徐宁,91,4.3
记忆森林,137,4.3
夫妻合伙人,71,4.3
妄想症,558,4.2
九层妖塔,109387,4.2
我是奋青,1336,4.2
新步步惊心,15832,4.2
通灵之六世古宅,1749,4.2
北京纽约,11499,4.2
37次想你,455,4.2
狙击时刻,1114,4.2
我的青春蜜友,678,4.2
笔仙3,6547,4.2
硬汉奶爸,1837,4.2
恋者多喜欢,550,4.2
我为相亲狂,5185,4.2
唇唇欲动,5676,4.2
201314,6818,4.2
爱在那一天,6364,4.2
疯狂的蠢贼,3951,4.2
举起手来2：追击阿多丸号,13405,4.2
武动青春,245,4.2
灭门 玳T,4048,4.2
整容液事件1,116,4.2
疯狂飘移假爸爸,66,4.2
神医大道公前传,73,4.2
六扇门之玄武初现,76,4.2
六扇门之铁牢,32,4.2
新大头儿子和小头爸爸2一日成才,1523,4.1
爱在深秋 墼谏钋,328,4.1
浪漫天降,2745,4.1
宅女侦探桂香,18114,4.1
我是女王,12852,4.1
第七谎言 第七e言,1437,4.1
美丽笨女人,169,4.1
爸爸的假期,11364,4.1
西游记之大闹天宫,98422,4.1
完美超越,221,4.1
冲锋战警 nh鹁,3626,4.1
我的老婆是只猫,419,4.1
荷尔德林的陶,272,4.1
青春期,32231,4.1
回马枪,4462,4.1
逄郊讶,2064,4.1
惊情,361,4.1
超蛙战士之初露锋芒,603,4.1
超强台风,6863,4.1
第十九层空间,7736,4.1
聊斋系列之桃花劫,259,4.1
血战残阳,37,4.1
侠捕,253,4.1
听风捉影,59,4.1
铁翼重生之绝境勇士,46,4.1
龙门劫案,70,4
致青春・原来你还在这里,57237,4
我的极品女神,1690,4
古墓凶铃,39,4
澳门风云3 城LIII,58966,4
不良女警,244,4
我的校花妹妹2,63,4
东莞女孩,180,4
闯堂兔2疯狂马戏团,240,4
向阳花开,115,4
换爱七日,749,4
拆散专家,7194,4
北回归线,1116,4
欲望歌手,106,4
女生宿舍,5270,4
辛巴达历险记2,189,4
潜艇总动员4：章鱼奇遇记,673,4
第一眼爱情,541,4
青春如期2：青春梦想,154,4
古镇凶灵之巫咒缠身,1441,4
宗师卜六,159,4
笔仙Ⅱ,7659,4
什么叫做爱,568,4
刘老庄八十二壮士,460,4
爱谁谁,1509,4
绝色武器,5000,4
车在逋,14815,4
嫁个100分男人,9401,4
索马里真相,767,4
开心大冒险,467,4
夏日恋神马 傧傧傧,3421,4
今年一定要嫁出去,404,4
用心跳,111,4
芳香之城传奇,2085,4
策马 Stretch,205,4
异空危情,1872,4
荒村公寓,12610,4
唐伯虎点秋香2之四大才子,23058,4
三笑之才子佳人,11960,4
荒村客栈,7490,4
我不是女生,43,4
麻雀要革命,268,4
小英雄雨来,302,4
向着胜利前进,296,4
A计划电视剧剪辑版 东方海盗传奇,228,4
灵界室友,187,3.9
山炮进城2,1069,3.9
山炮进城,5106,3.9
心跳戈壁,831,3.9
猪猪侠之终极决战,1150,3.9
满洲里来的人,436,3.9
将错就错,7886,3.9
缘来是游戏,1058,3.9
好命先生,9645,3.9
大宅男 大宅,2579,3.9
迷魂之密室逃脱,1318,3.9
特殊身份,53023,3.9
隔窗有眼,224,3.9
枕边有张脸,2487,3.9
百万爱情宝贝,1021,3.9
平壤之约 ????? ??,1032,3.9
青春失乐园,14374,3.9
爱的三人行,209,3.9
歌舞青春,3410,3.9
双镖,504,3.9
九浅一深,81,3.9
一夜情深,837,3.9
魔法大逃亡,119,3.9
惊天破,10465,3.8
张震讲故事之合租屋,1060,3.8
大梦西游,822,3.8
我的老婆是明星 我老婆S明星,1089,3.8
谋杀似水年华,9399,3.8
不可思异,13361,3.8
爱情魔发师,296,3.8
谁动了我的梦想,3053,3.8
怨灵,4990,3.8
风云1927,114,3.8
夏日示爱,509,3.8
迦酥越挠越痒,2059,3.8
飞扬的青春,125,3.8
毕业那年,1798,3.8
宝马狂想曲,1330,3.8
乌龙戏凤2012 u大爆走,1377,3.8
闯堂兔,136,3.8
湘江北去,1039,3.8
寻龙夺宝 The Dragon Pearl,4308,3.8
我的野蛮女友2,6991,3.8
未来警察,31751,3.8
北京等待 Waiting in Beijing,650,3.8
七擒七纵七色狼 七擒七v七色狼,2200,3.8
武林群英传,43,3.8
霸道总裁与乡村女教师,43,3.8
我如花似玉的儿子,279,3.8
宠灵实验室之狸奴艾莉,37,3.7
爵迹,73064,3.7
大话西游3,35406,3.7
奔跑吧有情人,170,3.7
男神时代,4959,3.7
红髅,543,3.7
土豪520,3351,3.7
台北夜蒲团团转 台北夜蒲FFD,2176,3.7
凡人烦恼,105,3.7
花咒,1287,3.7
斐济99℃爱情,1093,3.7
超萌英雄,1168,3.7
古堡之吻,3077,3.7
哭恋,96,3.7
不爱不散,915,3.7
步步追魂,881,3.7
盗剑72小时,552,3.7
功夫侠,1278,3.7
夜幕惊魂,658,3.7
凶间雪山,4762,3.7
青春荷尔蒙,3110,3.7
残梦,1609,3.7
今天・明天,129,3.7
荒岛情未了,612,3.7
死亡迷局,226,3.7
惊魂游戏,1264,3.7
夜惊魂,2246,3.7
大人物,2548,3.7
11度青春之《东奔西游》,4264,3.7
大胃王,5622,3.7
玫瑰余香,73,3.7
泰山功夫,50,3.7
潜艇总动员,124,3.7
双煞,396,3.7
三体之灵魂危机,97,3.7
81格,106,3.7
房事百科,168,3.6
男二本色,262,3.6
小西天狄道传奇,210,3.6
一路向前,4680,3.6
等爱归来,550,3.6
搏击迷城,840,3.6
何以笙箫默,85078,3.6
爱情狂想曲,320,3.6
美人邦,2461,3.6
我的播音系女友,4307,3.6
冰封：重生之门,23533,3.6
再爱一次好不好,5509,3.6
青春荷尔蒙2躁动时代,250,3.6
夺樽,4331,3.6
诡镇,9275,3.6
光的棍,1155,3.6
诡婴吉咪 ,2299,3.6
爱很美,2376,3.6
三月情流感,3179,3.6
在一起,21934,3.6
黑客悲情,121,3.6
恐龙宝贝,119,3.6
蔡李佛,2949,3.6
宅男总动员,4178,3.6
追踪章鱼保罗,963,3.6
游侠红牡丹,61,3.6
蓝 Blue,228,3.6
喜气洋洋小金莲,295,3.6
奇迹三雄之扑克游戏,51,3.6
泡上美女总裁,130,3.6
聚客镇,70,3.6
尴尬青春,86,3.6
妖医,671,3.5
青蛙总动员,490,3.5
电商时代,1427,3.5
双生灵,393,3.5
迷与狂,1517,3.5
悬战,680,3.5
校园疯骚史之舞动青春,377,3.5
我只要我们在一起,450,3.5
爱你不等来生,230,3.5
精武青春 青春Y,577,3.5
毕业那年：分手季,1055,3.5
我的校花妹妹,331,3.5
与贼同屋,219,3.5
永春白鹤拳之擎天画卷,371,3.5
纯纯欲动,382,3.5
死亡邮件,3869,3.5
夜半梳头,1387,3.5
绝命航班 Last Flight,13215,3.5
谁说我们不会爱,6321,3.5
有招没招之爱情达人,417,3.5
功夫战斗机,1337,3.5
禁忌游戏之迷藏,716,3.5
我是裸模,252,3.5
爱爱迨,4393,3.5
女人公敌,5643,3.5
午夜微博,3044,3.5
电梯惊魂,1978,3.5
小小飞虎队,5184,3.5
守株人,616,3.5
少林达摩剑,105,3.5
半夜不要照镜子,2418,3.5
结婚狂想曲,1012,3.5
午夜凶梦,2265,3.5
完美的爱,273,3.5
熊猫总动员,970,3.5
新忠烈图,377,3.5
西域大都护,31,3.5
玩的就是艳遇,148,3.5
陪我,30,3.5
回到那年夏天,212,3.5
王牌逗王牌,15061,3.4
人在驴途,226,3.4
斗龙战士之星印罗盘,176,3.4
斗地主传奇之双王之王,152,3.4
南京东1937,55,3.4
从天“儿”降,11833,3.4
超能荷尔蒙,159,3.4
魔卡行动,904,3.4
白雪公主之神秘爸爸,313,3.4
时间都去哪了,500,3.4
我是谁2015,1898,3.4
道士出山2：伏魔军团,678,3.4
女神跟我走,1093,3.4
十万伙急 十f夥急,679,3.4
奔跑吧！兄弟,32020,3.4
密道追踪之阴兵虎符,1383,3.4
等你追我,235,3.4
神通佛影,335,3.4
女子分手专家,218,3.4
血彩,159,3.4
我在路上最爱你 ? ???,10079,3.4
80后的独立宣言,173,3.4
拼时代,737,3.4
铁血娇娃,3676,3.4
咆哮无声,337,3.4
HOLD住爱,16347,3.4
笔仙惊魂,4818,3.4
热爱岛,1825,3.4
月色狰狞,286,3.4
神马都是浮云,797,3.4
杨门女将之军令如山,18179,3.4
嘿店,2083,3.4
僵尸新战士 菩鹗,1050,3.4
刀客外传,2236,3.4
嘻游记,16544,3.4
四大美人儿,588,3.4
哈！哈！哈！,719,3.4
天台,435,3.4
捉妖济,148,3.4
重庆美女,2157,3.4
私人订做,714,3.4
拳皇,96,3.4
李元霸与宇文成都,42,3.4
佛魔之剑,101,3.4
触碰,33,3.3
深宫遗梦,264,3.3
租个男友过新年,41,3.3
泡妞秘籍,171,3.3
拳霸风云,583,3.3
临沧的诱惑,70,3.3
异种,982,3.3
三更车库,1367,3.3
完美约会,55,3.3
时光大战,1042,3.3
奔驰的大葱,473,3.3
孤岛,376,3.3
我们毕业的夏天,638,3.3
我的麦霸女友,56,3.3
巴啦啦小魔仙之魔法的考验,743,3.3
刺客,416,3.3
我的美丽王国,868,3.3
公主的诱惑,3188,3.3
白狐,8247,3.3
石器时代之百万大侦探,4010,3.3
快乐到家,45050,3.3
恋爱三万英尺,1387,3.3
稍安勿躁,1873,3.3
夜店诡谈,2185,3.3
拿铁花香,420,3.3
无界之地,466,3.3
午夜心跳,5631,3.3
麻辣甜心,1244,3.3
等着你回来,3158,3.3
功夫无敌,969,3.3
颜值江湖,35,3.3
六扇门之沦陷,47,3.3
韩子高,162,3.2
丑小鸭历险记,234,3.2
爱夜蒲之备胎上位,106,3.2
校花驾到2蜜桃时代,171,3.2
妈妈，让我再爱你一次,246,3.2
诱狼,1340,3.2
男人制造,264,3.2
黑瞳,196,3.2
张震讲故事之鬼迷心窍,3679,3.2
夺命旅行,785,3.2
死亡之谜,740,3.2
黄金福将,471,3.2
谍・莲花,891,3.2
分手木马计,134,3.2
诡替身,3697,3.2
国宝疑云,292,3.2
笔仙惊魂3,3256,3.2
化妆师,1876,3.2
非狐外传,8983,3.2
鞭・炮I,115,3.2
大寒桃花开,1663,3.2
疯狂的导演,2226,3.2
粉红女郎之爱人快跑,1583,3.2
午夜火车,1453,3.2
拯救第365天,140,3.2
非常绑匪,798,3.2
初恋浅规则,897,3.2
孤岛惊魂,29038,3.2
熊出没注意,505,3.2
我的雷人男友,1171,3.2
非常女秘书,122,3.2
鼠胆熊威 xiongdanshuwei,70,3.2
他叫苏格,535,3.2
藏龙,90,3.2
霸道总裁和他的男人,159,3.2
戴套吧豹头君,61,3.2
盲少爷的小女仆,224,3.1
购物女王,576,3.1
再见美人鱼,159,3.1
丧尸大战僵尸,298,3.1
丧尸屠城,184,3.1
谁杀了潘巾莲,74,3.1
大变局之梦回甲午,302,3.1
璀璨的婚礼,101,3.1
海岛之恋,313,3.1
吉星高照2015,2055,3.1
校花驾到之极品校花,1461,3.1
灵瞳,121,3.1
暖男电话,53,3.1
食人虫,2497,3.1
钢情,57,3.1
英雄之战,8518,3.1
菊花台,150,3.1
蝉翼,353,3.1
校花诡异事件,4208,3.1
一路狂奔,2940,3.1
别跟我谈高富帅,598,3.1
借你俩胆,513,3.1
我爱灰太狼,1699,3.1
十二星座离奇事件,10584,3.1
喜酒,298,3.1
玩命魔术,240,3.1
绝命岛,5474,3.1
鬼局之猛鬼大厦,88,3.1
功夫大师,191,3.1
死亡游戏,387,3
笔仙诡影,763,3
大内密探王二狗,160,3
风口青春,129,3
荒村怨灵,683,3
开罗宣言,2160,3
无敌小飞猪,233,3
碟仙诡谭,1488,3
武僧传奇之决战程子沟,153,3
大话天仙,22972,3
史前怪兽 Legendary,3747,3
201413,1334,3
陌陌含情,72,3
帝国秘符,4387,3
决战大洋,314,3
致命替身,687,3
哭笑不得,887,3
我的钱我做主,229,3
爱情终结战,107,3
空姐,191,3
极度隐私,49,3
赤色危机 The Blood Bond,399,3
白云山传奇,74,3
封神传奇,30490,2.9
恐怖爱情故事之死亡公路,596,2.9
失眠男女,362,2.9
遇见神仙的奇幻基夜,34,2.9
灵臆事件,672,2.9
逶,233,2.9
澳,186,2.9
枕边诡影,296,2.9
简单爱,322,2.9
分手，不分手,152,2.9
桃花侠大战菊花怪,381,2.9
山村姑娘,54,2.9
心咒,561,2.9
怖偶,3071,2.9
后备空姐,2154,2.9
特工艾米拉,8038,2.9
绑架大明星,806,2.9
喜剧王,455,2.9
美男记,893,2.9
奥运我爱你,344,2.9
我的白富美女友,46,2.9
上位2,38,2.9
青春盛宴2：边沿,40,2.9
笨贼别跑,178,2.8
西游记之锁妖封魔塔,202,2.8
半夜叫你别回头,792,2.8
笔仙魔咒,997,2.8
诡劫,354,2.8
非你勿扰,350,2.8
狂野飞车,592,2.8
默守那份情,107,2.8
惊魂电影院,1191,2.8
天边的孩子,587,2.8
天亮・分手,327,2.8
我是你的野蛮女友,367,2.8
床下有人2,1369,2.8
分手达人,4472,2.8
封门村,1876,2.8
丑男大翻身,335,2.8
猜心之人心可畏,118,2.8
丝袜会所,550,2.8
致命闪玩,543,2.8
诡魇,604,2.8
我爱灰太狼2,1537,2.8
模特魅影,2277,2.8
人间蒸发,2351,2.8
楼,1674,2.8
一夜成名,791,2.8
双截棍,1002,2.8
极速先锋,260,2.8
床下有人,4468,2.8
无极限之危情速递,6464,2.8
西柏坡,248,2.8
超能少年之烈维塔任务,265,2.8
西游之一路向东,199,2.8
无欲不爱,217,2.8
潜规则2：血泪代言,63,2.8
摇滚水果,651,2.7
雨夜惊魂,435,2.7
家有虎妻,168,2.7
人皮拼图,531,2.7
纯真年代,188,2.7
情剑,1423,2.7
恐怖游泳馆,1399,2.7
阿里巴巴：大盗奇兵,226,2.7
18爱不爱之怦然心动,61,2.7
陌路惊笑,548,2.7
美色时代,120,2.7
恐怖电影院,917,2.7
虐面人之死灵面膜,577,2.7
闪魂,2371,2.7
舍身技,207,2.7
不要迷恋姐,980,2.7
恐怖旅馆,1869,2.7
地域无门,1000,2.7
堵车,1595,2.7
异度公寓,3687,2.7
古宅魂迷,220,2.7
向钱冲，向前冲,44,2.7
狂蟒惊魂,586,2.7
欲罪,95,2.7
天神传,746,2.7
帝国刺客,179,2.7
假装看不见之电影大师,252,2.6
雏鸟的天空,71,2.6
诡娃娃,390,2.6
时尚女郎之女人江湖,101,2.6
魔镜奇缘,422,2.6
锦衣卫女神之豪,34,2.6
卧龙岗,622,2.6
诡八楼,831,2.6
中国好声音之为你转身,2665,2.6
蝙蝠别墅,929,2.6
艳遇丽江,344,2.6
爱上灰姑娘,51,2.6
宓捌姹,266,2.6
疯狂试爱,53,2.6
无贱道,169,2.6
嫩模圈,339,2.6
催命符之劫后重生,417,2.5
恐怖禁忌之红旗袍,460,2.5
床下有人3,738,2.5
秘术,3447,2.5
这个大叔不太,802,2.5
海神密码,428,2.5
青春雷锋,1733,2.5
笑咏春 笑春,490,2.5
致命请柬,1678,2.5
不死之身,204,2.4
火星归来,149,2.4
我是大明星,121,2.4
幸福很,175,2.4
星探 色模,422,2.4
少年杨靖宇,76,2.4
超能兔战队,499,2.4
青春.com,249,2.4
整形归来,66,2.4
雷锋的微笑,924,2.4
南泥湾,673,2.4
净土,35,2.4
悟空大战二郎神,452,2.4
笔仙归来,188,2.4
皇帝的新装之圣诞大明星,114,2.3
找个高富帅？,659,2.3
B区32号,5331,2.3
换脸新娘,93,2.3
白日杀机,131,2.2
戚继光英雄传,794,2.2
大震撼,210,2.2
渡灵人,176,2.1
